N_SOLICITUD_EXP	F_ESTUDIO_EXP	SUBPRODUCTO_EXP	No Tarjetas	Cupos	Ingresos	EDAD_EXP	TIPO_VIVIENDA_VIVE_EXP	N_HIJOS_EXP	VIVIENDA_NUEVA_EXP	CANAL_EXP	GENERO_ACT_	ESTADO_CIVIL_ACT_	TIPO_VIVIENDA_ACT_	NIVEL_ACADEM_ACT_	OCUPACION_ACT_	AnosAntiguedadEmpl	AnosRelacionBanco	MORAMAX 18 meses	Mora Inicial	MORA_ACTUAL	Rodo
24	201207	TarjetaNuestra	1	14	8	37			NO	Almacen	FEMENINO	CASADO		TECNOLOGO	INDEPENDIENTE	5,461111111	0	41	36	43	0
25	201310	TarjetaNuestra	2	8	1,963	29	FAMILIAR	0	SI	Almacen	FEMENINO	SOLTERO		UNIVERSITARIO	EMPLEADO	1,822222222	1,763888889	0	42	49	0
26	201310	TarjetaNuestra	2	5,06142	6,4	39	FAMILIAR	0	NO	Almacen	FEMENINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	8,638888889	17,99166667	0	31	38	0
27	201310	TarjetaMundo	1	15,6	6,884864	44				Almacen	FEMENINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	0	4,486111111	0	33	40	0
28	201207	TarjetaNuestra	1	15,5	20,8	30			NO	Almacen	MASCULINO	CASADO	ALQUILADA	UNIVERSITARIO	EMPLEADO	11,975	0,672222222	0	46	0	0
29	201207	TarjetaLocal	1	10	24	37					MASCULINO	CASADO	ALQUILADA	ESPECIALIZACION	INDEPENDIENTE	0	19,425	0	59	66	1
30	201207	TarjetaNuestra	1	6,5	3,329333	35			NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	10,16666667	14,09722222		38	45	0
31	201207	TarjetaNuestra	1	5	4	45			NO	Almacen	MASCULINO	NO INFORMA	NO INFORMA	NO INFORMA	EMPLEADO	0	0		34	41	0
32	201310	TarjetaNuestra	2	6	31,688	64	PROPIA	2	SI	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO		17,20555556	0	41	48	0
33	201207	TarjetaNuestra	2	5,3	1,5375	36			SI	Almacen	MASCULINO	NO INFORMA			SOCIO EMPLEADO - SOCIO	0	0		35	42	0
34	201310	TarjetaColombia	1	12,04	5,88442	46	PROPIA		SI	Preaprobado	FEMENINO	CASADO		NO INFORMA	EMPLEADO	8,997222222	4,425	0	38	45	0
35	201310	TarjetaNuestra	2	9,27	7,382756	46	PROPIA	2	NO	Almacen	FEMENINO	CASADO	ALQUILADA	ESPECIALIZACION	EMPLEADO		23,70277778	0	36	0	0
36	201310	TarjetaNuestra	1	12	104,793269	53	PROPIA	1	NO	Almacen	MASCULINO	CASADO	PROPIA	PRIMARIA	COMERCIANTE	23,75	14,71666667	0	56	63	1
37	201207	TarjetaNuestra	1	8,4	6,000004	51			SI	Almacen	MASCULINO	CASADO		BACHILLER	EMPLEADO		0	0	34	41	0
38	201310	TarjetaNuestra	2	31,5	6	59	OTRAS	2	NO	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	35,64166667	28,83333333	0	32	39	0
39	201207	TarjetaNuestra	1	11,5	19,627173	54			NO	Almacen	MASCULINO	CASADO		NINGUNO	EMPLEADO	15,4	0,002777778	0	37	44	0
40	201310	TarjetaMundo	1	30	0	46				Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	INDEPENDIENTE	2,602777778	0,280555556	0	35	42	0
41	201310	TarjetaNuestra	1	4,4	1,2636	31	FAMILIAR	2	SI	Preaprobado	FEMENINO	UNION LIBRE	FAMILIAR	UNIVERSITARIO	EMPLEADO	5,002777778	0	3	39	46	0
42	201207	TarjetaNuestra	1	2,8	1,75	39			NO	Almacen	MASCULINO	CASADO		TECNOLOGO	EMPLEADO	4,5	0,905555556	4	39	46	0
43	201207	TarjetaNuestra	1	2,4	1,5	25			NO	Almacen	FEMENINO	NO INFORMA		TECNOLOGO	EMPLEADO	0	0	0	50	57	0
44	201207	TarjetaNuestra	2	5,95	3,4	37			NO	Almacen	FEMENINO	VIUDO		TECNOLOGO	EMPLEADO		4,036111111	0	33	40	0
45	201207	TarjetaNuestra	1	4,55	5,062	33			NO	Almacen	MASCULINO	OTRO	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE	6,833333333	12,92222222		49	56	0
46	201310	TarjetaNuestra	2	13,163129	6,991789	29	ARRENDADA	0	SI	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	5,613888889	5,608333333	0	32		0
47	201310	TarjetaNuestra	2	8,4	2,1025	30	FAMILIAR	1	NO	Almacen	MASCULINO	NO INFORMA		NO INFORMA	EMPLEADO		0	0	48	55	0
48	201207	TarjetaNuestra	1	4,9	9	49			NO	Almacen	MASCULINO	CASADO	ALQUILADA	BACHILLER	EMPLEADO	13,94166667	13,925		59	66	1
49	201310	TarjetaMundo	1	15,624	7,4	49				Almacen	MASCULINO	CASADO	ALQUILADA	TECNOLOGO	EMPLEADO	4,655555556	13,29444444	0	42	49	0
50	201310	TarjetaNuestra	1	1,79	0,629	36	ARRENDADA	2	SI	Preaprobado	FEMENINO	NO INFORMA		PRIMARIA	EMPLEADO	0	0		38	45	0
51	201207	TarjetaNuestra	1	27,5	38,5	49			NO	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	6,436111111	22,15833333	13	37	44	0
52	201207	TarjetaNuestra	1	3,5	1,431077	41			NO	Almacen	MASCULINO	UNION LIBRE	FAMILIAR	TECNOLOGO	EMPLEADO	6,083333333	11,39722222	39	37	44	0
53	201310	TarjetaNuestra	2	2,6	0	43	FAMILIAR	1	NO	Preaprobado	FEMENINO	SOLTERO		PRIMARIA	EMPLEADO	2,711111111	3,383333333		54	61	1
54	201207	TarjetaNuestra	1	1,4	0,63	46			SI	Almacen	MASCULINO	UNION LIBRE		NO INFORMA	EMPLEADO		1,758333333		40	0	0
55	201207	TarjetaNuestra	1	7	3,879079	42			NO	Almacen	FEMENINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	0	12,76111111	0	40	16	0
56	201310	TarjetaNuestra	2	7	2,333286	29	FAMILIAR	0	NO	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0,263888889	3	0	44	51	0
57	201207	TarjetaNuestra	1	9,8	5,5	53			NO	Almacen	MASCULINO	VIUDO	FAMILIAR	TECNOLOGO	EMPLEADO	0	0	2	33	40	0
58	201207	TarjetaNuestra	2	9,1	3,29575	33			NO	Almacen	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	4,163888889	7,780555556	0	31	38	0
59	201207	TarjetaNuestra	1	12,5	7,959	33			SI	Almacen	MASCULINO	SOLTERO	PROPIA	ESPECIALIZACION	EMPLEADO	4,136111111	14,65277778	0	31	7	0
60	201310	TarjetaNuestra	2	15	9,85109	55	PROPIA	1	SI	Almacen	MASCULINO	CASADO	PROPIA	TECNOLOGO	EMPLEADO	31,30555556	18,21944444	0	58	65	1
61	201310	TarjetaColombia	1	15	16,04375	33	ARRENDADA		SI	Almacen	FEMENINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	0	9,2	64	43	50	0
62	201310	TarjetaNuestra	2	4,2	6,547	65	PROPIA	2	SI	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	JUBILADO	0	15,93888889	3	31	38	0
63	201310	TarjetaNuestra	1	6,3	0,0001	34	FAMILIAR	2	SI	Almacen	FEMENINO	NO INFORMA	FAMILIAR	TECNOLOGO	EMPLEADO	0	0		31		0
64	201310	TarjetaMundo	1	9,6	8,206	36				Almacen	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	5,666666667	8,575	2	41	0	0
65	201207	TarjetaNuestra	2	35,5986564	22	36			NO	Almacen	MASCULINO	NO INFORMA	PROPIA	UNIVERSITARIO	EMPLEADO	0	13,90555556	0	36	43	0
66	201310	TarjetaNuestra	1	14,1779552	7,3671	34	PROPIA	0	SI	Preaprobado	FEMENINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	0	9,938888889	277	33	40	0
67	201310	TarjetaNuestra	1	6,72	2,5	41	FAMILIAR	1	SI	Almacen	MASCULINO	CASADO		UNIVERSITARIO	EMPLEADO		0	0	33	40	0
68	201310	TarjetaNuestra	3	9,2	7,2487	34	FAMILIAR	0	SI	Preaprobado	MASCULINO	NO INFORMA		NO INFORMA	EMPLEADO		0,3	4	35	42	0
69	201207	TarjetaNuestra	1	12,25	5,5	33			NO	Almacen	MASCULINO	UNION LIBRE	FAMILIAR	ESPECIALIZACION	SOCIO EMPLEADO - SOCIO	0	12,03333333	0	52	59	0
70	201207	TarjetaNuestra	1	14,7	4,194121	57			NO	Almacen	MASCULINO	DIVORCIADO	PROPIA	BACHILLER	EMPLEADO	0	0	0	45	52	0
71	201310	TarjetaNuestra	2	8,946	4,299527	29	FAMILIAR	0	SI	Preaprobado	MASCULINO	CASADO	PROPIA	TECNOLOGO	EMPLEADO		10,11111111	0	37		0
72	201207	TarjetaNuestra	1	9	7,1	38			NO	Almacen	MASCULINO	DIVORCIADO	ALQUILADA	BACHILLER	EMPLEADO	3,286111111	16,66111111	0	59	66	1
73	201310	TarjetaNuestra	1	3	0,95659	51	ARRENDADA	1	NO	Preaprobado	MASCULINO	CASADO	ALQUILADA	PRIMARIA	EMPLEADO	0	11,46666667		57	64	1
74	201207	TarjetaNuestra	1	2,5	3,387562	48			NO	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	EMPLEADO	8,5	16,43611111		46	53	0
75	201310	TarjetaNuestra	2	13,79	13,3	39	ARRENDADA	2	NO	Almacen	MASCULINO	UNION LIBRE	PROPIA	UNIVERSITARIO	INDEPENDIENTE	3,558333333	5,488888889	0	44	51	0
76	201310	TarjetaMundo	1	15,3	8,026627	45				Almacen	FEMENINO	DIVORCIADO	PROPIA	UNIVERSITARIO	EMPLEADO	0	25,33333333	30	54	61	0
77	201310	TarjetaNuestra	2	3,5	3,8	44	ARRENDADA	0	SI	Almacen	FEMENINO	DIVORCIADO	PROPIA	PRIMARIA	PROFESIONAL INDEPENDIENTE	0	26,91944444		40	47	0
78	201207	TarjetaNuestra	1	8,9	15,724	47			NO	Almacen	FEMENINO	NO INFORMA	PROPIA	NO INFORMA	EMPLEADO	0	4,955555556	0	31	7	0
79	201310	TarjetaColombia	2	5	2,29237	30	FAMILIAR		SI	Preaprobado	MASCULINO	NO INFORMA			EMPLEADO	0	0	0	48	55	0
80	201310	TarjetaNuestra	1	2,9	0	28	FAMILIAR	1	SI	Preaprobado	FEMENINO	SOLTERO		UNIVERSITARIO	EMPLEADO	1,675	4,825		51	58	0
81	201310	TarjetaColombia	1	4	2,87119	49	ARRENDADA		NO	Almacen	FEMENINO	NO INFORMA			EMPLEADO	0	0	0	42	49	0
82	201207	TarjetaNuestra	1	8,9	3,5	26			NO	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0,344444444	2,852777778	43	50	57	0
83	201310	TarjetaNuestra	1	4,5	0,943	44	ARRENDADA	1	SI	Preaprobado	FEMENINO	SOLTERO	FAMILIAR	BACHILLER	EMPLEADO	15,48611111	0	0	39	46	0
84	201310	TarjetaMundo	1	14	6,766085	33				Preaprobado	FEMENINO	SOLTERO		NO INFORMA	EMPLEADO	1,916666667	0,011111111	13	60	67	0
85	201207	TarjetaNuestra	1	5,06142	2,546872	46			SI	Almacen	FEMENINO	SOLTERO	NO INFORMA	ESPECIALIZACION	EMPLEADO	12,35833333	20,31944444	0	41	48	0
86	201310	TarjetaNuestra	2	12,74	4,1375	32	FAMILIAR	0	SI	Preaprobado	MASCULINO	UNION LIBRE	NO INFORMA	UNIVERSITARIO	EMPLEADO		11,44166667	0	31	38	0
87	201207	TarjetaNuestra	1	4,9	1	50			SI	Preaprobado	MASCULINO	CASADO	PROPIA	PRIMARIA	COMERCIANTE	0	6,763888889		41	0	0
88	201310	TarjetaNuestra	2	31,5	15	52	PROPIA	3 Ó MAS	SI	Almacen	FEMENINO	CASADO		UNIVERSITARIO	EMPLEADO		21,85		43	50	0
89	201207	TarjetaNuestra	2	3,213	0,72	36			SI	Almacen	FEMENINO	CASADO	FAMILIAR	TECNOLOGO	EMPLEADO	4,75	11,19722222	0	37	44	0
90	201310	TarjetaColombia	1	7,25109	6,850921	31	OTRAS		SI	Almacen	FEMENINO	SOLTERO	NO INFORMA	NO INFORMA	ESTUDIANTE	0	1,130555556	0	37	44	0
91	201310	TarjetaNuestra	1	4,58955	3,78	33	PROPIA	0	SI	Preaprobado	MASCULINO	SOLTERO		UNIVERSITARIO	EMPLEADO		0		31	38	0
92	201207	TarjetaNuestra	1	14	3,96	34			NO	Almacen	MASCULINO	NO INFORMA		NO INFORMA	EMPLEADO		3,058333333		33	40	0
93	201310	TarjetaColombia	1	12,495	9,5995	24	FAMILIAR		SI	Preaprobado	FEMENINO	DIVORCIADO		NO INFORMA	EMPLEADO	0	0	0	59	66	1
94	201310	TarjetaNuestra	1	6,3	3,705	38	FAMILIAR	2	NO	Almacen	FEMENINO	DIVORCIADO	ALQUILADA	TECNOLOGO	EMPLEADO	6,122222222	1,241666667		34	41	0
95	201207	TarjetaNuestra	1	4	2,6	47			SI	Almacen	FEMENINO	CASADO	ALQUILADA	UNIVERSITARIO	EMPLEADO	10,5	1,252777778	0	47	54	0
96	201207	TarjetaNuestra	2	2,7561489	1,085	26			NO	Almacen	MASCULINO	CASADO		BACHILLER	EMPLEADO	3,191666667	3,158333333	0	31	38	0
97	201310	TarjetaMundo	1	36,9	8,072238	47				Almacen	MASCULINO	CASADO	FAMILIAR	ESPECIALIZACION	SOCIO EMPLEADO - SOCIO	16,41666667	20,58333333	0	38	45	0
98	201207	TarjetaNuestra	2	20	6,098	37			SI	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	0	11,66111111	0	32	39	0
99	201310	TarjetaNuestra	2	10,58664	2,056882	30	PROPIA	1	SI	Preaprobado	MASCULINO			UNIVERSITARIO	EMPLEADO	2,222222222	2,236111111	0	60	67	1
100	201207	TarjetaNuestra	1	2	1,752323	55			NO	Almacen	FEMENINO	VIUDO		NO INFORMA	JUBILADO		0	0	35	42	0
101	201310	TarjetaNuestra	1	6	5,2	54	FAMILIAR	0	NO	Almacen	FEMENINO	VIUDO	FAMILIAR	BACHILLER	COMERCIANTE	23,75	9,983333333	14	45	52	0
102	201310	TarjetaNuestra	2	5,6	1,417757	28	FAMILIAR	0	NO	Almacen	MASCULINO	SOLTERO		UNIVERSITARIO		0	3,983333333		33	40	0
103	201310	TarjetaNuestra	2	10,5	2	31	FAMILIAR	0	NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	2,738888889	8,722222222	0	47	54	0
104	201310	TarjetaNuestra	2	21,9	0	36	FAMILIAR	0	SI	Almacen	MASCULINO	CASADO	FAMILIAR	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE	4,75	6,522222222	12	38	45	0
105	201310	TarjetaNuestra	2	13,823775	10,086994	34	FAMILIAR	2	SI	Preaprobado	MASCULINO	CASADO	ALQUILADA	ESPECIALIZACION	EMPLEADO	5,361111111	6,838888889	0	41	48	0
106	201310	TarjetaNuestra	1	13	11,713	51	FAMILIAR	1	NO	Almacen	FEMENINO	SOLTERO		BACHILLER	COMERCIANTE	17,45277778	0	0	54	61	1
107	201310	TarjetaPrivada	2	4,2	1,7145	33	FAMILIAR	1	NO	Almacen	FEMENINO	CASADO	FAMILIAR	TECNOLOGO	EMPLEADO	7,961111111	14,91111111	0	47	54	0
108	201207	TarjetaNuestra	1	9,5	14,812242	55			SI	Preaprobado	MASCULINO	SOLTERO	ALQUILADA	ESPECIALIZACION	SOCIO EMPLEADO - SOCIO	36,16666667	23,61111111	0	33	40	0
109	201310	TarjetaColombia	1	5,54	3,24603	55	FAMILIAR		SI	Preaprobado	FEMENINO	CASADO		BACHILLER	EMPLEADO	1,686111111	0	0	60	67	1
110	201310	TarjetaNuestra	2	18,8	9,765	60	PROPIA	1	NO	Almacen	FEMENINO	NO INFORMA	FAMILIAR	NO INFORMA	JUBILADO		9,791666667		36	0	0
111	201310	TarjetaMundo	1	9,12	5	37				Almacen	MASCULINO	CASADO	ALQUILADA	TECNOLOGO	COMERCIANTE		15,80833333	11	34	41	0
112	201207	TarjetaNuestra	1	7,7	4,077213	47			SI	Almacen	MASCULINO	OTRO		NO INFORMA	OTRA		0	8	37	44	0
113	201310	TarjetaMundo	2	12	1,788832	25				Preaprobado	MASCULINO	CASADO		UNIVERSITARIO	EMPLEADO	6,322222222	6,130555556	22	32	39	0
114	201207	TarjetaNuestra	2	3,77	0,9667	27			SI	Almacen	FEMENINO	CASADO	FAMILIAR	TECNOLOGO	DESEMPLEADO SIN INGRESOS	1,891666667	7,869444444		39	46	0
115	201310	TarjetaMundo	1	6,3	0	52				Almacen	FEMENINO	SOLTERO	PROPIA	ESPECIALIZACION	INDEPENDIENTE	9,822222222	18,81666667	0	35	42	0
116	201310	TarjetaNuestra	2	8	10,607372	60	PROPIA	0	NO	Almacen	MASCULINO	CASADO	PROPIA	ESPECIALIZACION	EMPLEADO	19,66666667	19,63055556	0	49	56	0
117	201310	TarjetaNuestra	2	30	22,7	41	PROPIA	2	NO	Almacen	FEMENINO	CASADO	NO INFORMA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	3,161111111	20,31666667	17	59	66	0
118	201207	TarjetaNuestra	2	3,85	0,85	31			SI	Almacen	MASCULINO	CASADO		NO INFORMA	EMPLEADO		0	64	47	54	0
119	201207	TarjetaNuestra	1	3,1	1,949942	41			SI	Almacen	MASCULINO	UNION LIBRE	FAMILIAR	TECNOLOGO	EMPLEADO	2,291666667	0		54	61	1
120	201310	TarjetaNuestra	2	10,42923	4	44	FAMILIAR	2	SI	Preaprobado	FEMENINO	SOLTERO		UNIVERSITARIO	INDEPENDIENTE	0	3	0	36	43	0
121	201310	TarjetaNuestra	1	3,5	3,275	52	ARRENDADA	0	NO	Almacen	FEMENINO	NO INFORMA	ALQUILADA	BACHILLER	EMPLEADO	0	0,666666667	4	49	56	0
122	201207	TarjetaNuestra	2	73,5	14,600735	33			SI	Almacen	MASCULINO	UNION LIBRE	PROPIA	ESPECIALIZACION	EMPLEADO	2,158333333	14,12777778	0	54	61	1
123	201207	TarjetaNuestra	2	18,9	7,741278	55			NO	Almacen	MASCULINO	CASADO		NO INFORMA	EMPLEADO	5,788888889	15,11388889		33	40	0
124	201207	TarjetaNuestra	1	2	7,5	31			NO	Almacen	MASCULINO	CASADO	ALQUILADA	ESPECIALIZACION	EMPLEADO	0	7,413888889	0	40	0	0
125	201207	TarjetaNuestra	1	22	10,07	39			SI	Almacen	MASCULINO	NO INFORMA	NO INFORMA	NO INFORMA	EMPLEADO	0	23,51388889		38	45	0
126	201207	TarjetaNuestra	2	5	6,437	29			NO	Almacen	FEMENINO	SOLTERO	ALQUILADA	UNIVERSITARIO	EMPLEADO	0,333333333	0,3	0	53	29	0
127	201310	TarjetaMundo	1	28,6	17,7715	34				Preaprobado	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO		13,83055556	0	39	46	0
128	201310	TarjetaMundo	1	68	130,88325	52				Preaprobado	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	INDEPENDIENTE	7,333333333	8,713888889	0	40	47	0
129	201207	TarjetaNuestra	1	6	6,8	50			NO	Almacen	MASCULINO	NO INFORMA	PROPIA	NO INFORMA	COMERCIANTE		5,691666667	0	31	38	0
130	201207	TarjetaNuestra	1	12	7,15	49			NO	Almacen	MASCULINO	SOLTERO		NO INFORMA	COMERCIANTE		0,013888889		59	66	1
131	201207	TarjetaNuestra	1	10	7,759	25			SI	Preaprobado	MASCULINO	SOLTERO	FAMILIAR	ESPECIALIZACION	EMPLEADO	5,436111111	9,419444444		48	55	0
132	201207	TarjetaNuestra	1	10	6,19	30			NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	7,386111111	7,958333333	0	39	46	0
133	201207	TarjetaNuestra	1	5,95	4,104	66			SI	Almacen	MASCULINO	CASADO	PROPIA	UNIVERSITARIO	JUBILADO	0	0		38	45	0
134	201310	TarjetaNuestra	2	5	6	42	PROPIA	2	NO	Almacen	MASCULINO	UNION LIBRE	ALQUILADA	BACHILLER	INDEPENDIENTE	0,472222222			38	45	0
135	201310	TarjetaLocal	1	1,9796	2,835	30			NO	Almacen	MASCULINO	UNION LIBRE		BACHILLER	INDEPENDIENTE		3,95	0	33	40	0
136	201207	TarjetaNuestra	1	2	1,292	31			SI	Almacen	MASCULINO	CASADO		BACHILLER	EMPLEADO		1,636111111	0	37	44	0
137	201207	TarjetaNuestra	2	13	12,7	22			NO	Almacen	MASCULINO	SOLTERO	FAMILIAR	UNIVERSITARIO	INDEPENDIENTE	3,5	1,197222222	0	33	40	0
138	201207	TarjetaNuestra	1	9,1	4,962798	61			NO	Almacen	FEMENINO	OTRO			EMPLEADO	0	0	9	59	0	0
139	201207	TarjetaNuestra	1	6	2,865583	39			SI	Almacen	MASCULINO	CASADO	ALQUILADA	UNIVERSITARIO	EMPLEADO	17,44722222	12,13611111	0	33	40	0
140	201207	TarjetaNuestra	2	84	12	37			SI	Almacen	FEMENINO	CASADO	PROPIA	UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	4,022222222	1,777777778	0	33	40	0
141	201207	TarjetaNuestra	1	60	50	33			NO	Almacen	MASCULINO	SOLTERO	PROPIA	ESPECIALIZACION	INDEPENDIENTE	7,416666667	12,75833333	9	60	67	0
142	201207	TarjetaNuestra	1	3,5	1,573582	33			NO	Almacen	MASCULINO	NO INFORMA	PROPIA	TECNOLOGO	EMPLEADO		0	0	53	60	0
143	201207	TarjetaLocal	2	20	12,7	26					MASCULINO	UNION LIBRE		UNIVERSITARIO	SOCIO EMPLEADO - SOCIO	7,138888889	3,175	31	43	50	0
144	201207	TarjetaNuestra	1	4,2	1,717662	30			NO	Almacen	FEMENINO	SOLTERO	FAMILIAR	UNIVERSITARIO	EMPLEADO	0,916666667	9,580555556		43	50	0
145	201310	TarjetaNuestra	2	10,2845547	4,5	33	PROPIA	0	NO	Almacen	MASCULINO	DIVORCIADO	FAMILIAR	ESPECIALIZACION	EMPLEADO	1,127777778	0,655555556	0	31	38	0
146	201310	TarjetaNuestra	3	14	2,38	28	ARRENDADA	0	NO	Almacen	MASCULINO	CASADO		UNIVERSITARIO	EMPLEADO	3,25	3,369444444		40	47	0
147	201207	TarjetaNuestra	1	15	61	57			NO	Almacen	FEMENINO	SOLTERO	PROPIA	UNIVERSITARIO	PROFESIONAL INDEPENDIENTE	0	27,39722222		53	60	0
